类别	原文	出处	不翻译原因
处置-保持原文/挂起	WAITING FOR PLAYERS TO FINISH...	TLAD/RACESE1/Key:0afda7d3	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Press and hold ~INPUT_VEH_HEADLIGHT~ for a heavy left attack, or press and hold ~INPUT_FRONTEND_RT~ for a heavy right attack.	TLAD/RACESE1/Key:0d658909	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	You have a bat which can be used to attack other competitors. Press ~INPUT_VEH_HEADLIGHT~ for a left attack, or press ~INPUT_FRONTEND_RT~ for a right attack.	TLAD/RACESE1/Key:1be22602	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Bridging the Gap	TLAD/RACESE1/Key:2bfc42d5	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Blockie	TLAD/RACESE1/Key:2ded3e3e	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	The race is ending soon.	TLAD/RACESE1/Key:4a13e25f	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Triple L Rocks	TLAD/RACESE1/Key:4b607924	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Random	TLAD/RACESE1/Key:4ee90035	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Track	TLAD/RACESE1/Key:4fc6d48b	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	You have a bat which can be used to attack other competitors. Press ~INPUT_MOUSE_LMB~ for a left attack, or press ~INPUT_MOUSE_RMB~ for a right attack.	TLAD/RACESE1/Key:54ae0148	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Normal	TLAD/RACESE1/Key:5533df82	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Color	TLAD/RACESE1/Key:5bdc13e3	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Annihilator	TLAD/RACESE1/Key:5d6e9884	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	You have a bat which can be used to attack other competitors. Press ~INPUT_MOUSE_LMB~ for a left attack, or press ~INPUT_MOUSE_RMB~ for a right attack.	TLAD/RACESE1/Key:63d475e9	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Enters 1ST	TLAD/RACESE1/Key:6ca086c0	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Off	TLAD/RACESE1/Key:73e6c574	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Snakes & Ladders	TLAD/RACESE1/Key:7ab45864	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Down Under	TLAD/RACESE1/Key:85166c8f	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Bogan's Revenge	TLAD/RACESE1/Key:940a8c5c	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Reaper's Ride	TLAD/RACESE1/Key:973a116f	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	New Personal Best	TLAD/RACESE1/Key:a18b4dd5	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Vehicle Damage	TLAD/RACESE1/Key:ad771711	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Press and hold ~INPUT_MOUSE_LMB~ for a heavy left attack, or press and hold ~INPUT_MOUSE_RMB~ for a heavy right attack.	TLAD/RACESE1/Key:b76ed7eb	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Laps	TLAD/RACESE1/Key:bcd4f722	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Weapons	TLAD/RACESE1/Key:c87cd530	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Lap Time	TLAD/RACESE1/Key:d22d9110	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	The Lost's Highway	TLAD/RACESE1/Key:d74e1192	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Press and hold ~INPUT_MOUSE_LMB~ for a heavy left attack, or press and hold ~INPUT_MOUSE_RMB~ for a heavy right attack.	TLAD/RACESE1/Key:dc86824b	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Vehicle	TLAD/RACESE1/Key:dd245b9c	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Duke of the City	TLAD/RACESE1/Key:e924b53f	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	You have a bat which can be used to attack other competitors. Press ~INPUT_VEH_HEADLIGHT~ for a left attack, or press ~INPUT_VEH_CIN_CAM~ for a right attack.	TLAD/RACESE1/Key:ec3cc7e8	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	A Bohan Scramble	TLAD/RACESE1/Key:f0c8c3f2	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	In the Bricks	TLAD/RACESE1/Key:f6f0d03e	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	B.H. xxxxx	TBoGT/EMAILE1/Key:0edf1296	【保持原文】B.H. xxxxx（签名缩写保留）
处置-保持原文/挂起	FriendsWithBenefitsHealthcare@grype.org	TBoGT/EMAILE1/Key:286a9b5f	【保持原文】FriendsWithBenefitsHealthcare@grype.org（邮箱地址/用户名保留原文）
处置-保持原文/挂起	Capt.Vel8712@eyefind.info	TBoGT/EMAILE1/Key:2d39a4fd	【保持原文】Capt.Vel8712@eyefind.info（邮箱地址/用户名保留原文）
处置-保持原文/挂起	crazydaisy@fruitcomputers.com	TBoGT/EMAILE1/Key:3a433f0c	【保持原文】crazydaisy@fruitcomputers.com（邮箱地址/用户名保留原文）
处置-保持原文/挂起	77777asfd@eyefind.info	TBoGT/EMAILE1/Key:41919d64	【保持原文】77777asfd@eyefind.info（邮箱地址/用户名保留原文）
处置-保持原文/挂起	BigBusterH@eyefind.info	TBoGT/EMAILE1/Key:5aa77fd8	【保持原文】BigBusterH@eyefind.info（邮箱地址/用户名保留原文）
处置-保持原文/挂起	Ernesto.Lopez@grype.org	TBoGT/EMAILE1/Key:5b2680d2	【保持原文】Ernesto.Lopez@grype.org（邮箱地址/用户名保留原文）
处置-保持原文/挂起	Vinne.Marino.1dfg7@eyefind.info	TBoGT/EMAILE1/Key:70cf7bdf	【保持原文】Vinne.Marino.1dfg7@eyefind.info（邮箱地址/用户名保留原文）
处置-保持原文/挂起	D.Babayoko@grype.org	TBoGT/EMAILE1/Key:7ad6c036	【保持原文】D.Babayoko@grype.org（邮箱地址/用户名保留原文）
处置-保持原文/挂起	Tony@Maisonette9.com	TBoGT/EMAILE1/Key:88b35beb	【保持原文】Tony@Maisonette9.com（邮箱地址/用户名保留原文）
处置-保持原文/挂起	L.LopezWilkinson@grype.org	TBoGT/EMAILE1/Key:8cbe6401	【保持原文】L.LopezWilkinson@grype.org（邮箱地址/用户名保留原文）
处置-保持原文/挂起	h23ajhb@eyefind.info	TBoGT/EMAILE1/Key:c351d12f	【保持原文】h23ajhb@eyefind.info（邮箱地址/用户名保留原文）
处置-保持原文/挂起	Tlks1iK87	TBoGT/EMAILE1/Key:e2540ee3	【保持原文】Tlks1iK87（邮箱地址/用户名保留原文）
处置-保持原文/挂起	margs1983@eyefind.info	TBoGT/EMAILE1/Key:ef8f29a1	【保持原文】margs1983@eyefind.info（邮箱地址/用户名保留原文）
处置-保持原文/挂起	Pistols	TBoGT/RACESE2/Key:01d642f4	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	WAITING FOR PLAYERS TO FINISH...	TBoGT/RACESE2/Key:0afda7d3	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Health Only	TBoGT/RACESE2/Key:1390e669	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Mind the Gap	TBoGT/RACESE2/Key:1be398f6	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Off	TBoGT/RACESE2/Key:2d5b19fd	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Random	TBoGT/RACESE2/Key:2f2c3f83	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Track	TBoGT/RACESE2/Key:4200363f	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	The race is ending soon.	TBoGT/RACESE2/Key:4a13e25f	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Weapons	TBoGT/RACESE2/Key:54804a25	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Color	TBoGT/RACESE2/Key:5bdc13e3	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Enters 1ST	TBoGT/RACESE2/Key:6ca086c0	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Burn your Bridges	TBoGT/RACESE2/Key:7838519a	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Damn Rotten Hills	TBoGT/RACESE2/Key:7d51ed30	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Round the Horny	TBoGT/RACESE2/Key:937b9987	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	New Personal Best	TBoGT/RACESE2/Key:a18b4dd5	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Vehicle Damage	TBoGT/RACESE2/Key:ad771711	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Upper Junction	TBoGT/RACESE2/Key:b165c3f4	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Laps	TBoGT/RACESE2/Key:bcd4f722	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Lap Time	TBoGT/RACESE2/Key:d22d9110	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Club Class	TBoGT/RACESE2/Key:d4b78a9f	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Vehicle	TBoGT/RACESE2/Key:dd245b9c	【线上挂起】（TLAD 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Your vehicle is equipped with nitro. To activate the nitro you must first be travelling fast enough. Then tap ~INPUT_VEH_CIN_CAM~ to activate your nitro.	TBoGT/RACESE2/Key:dd31b69c	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	All Weapons	TBoGT/RACESE2/Key:dde83c11	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Original Outlook	TBoGT/RACESE2/Key:e1df364d	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	All Guns	TBoGT/RACESE2/Key:e6618c0b	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Guns & Grenades	TBoGT/RACESE2/Key:f3a16783	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	SMGs	TBoGT/RACESE2/Key:f8172f76	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
处置-保持原文/挂起	Meat your Marker	TBoGT/RACESE2/Key:fc976bbd	【线上挂起】（TBoGT 多人赛车 UI，按线上多人暂不译口径挂起）
shield-故意留英文	Ricky Gervais	剧情专名译名表-v6(shield)	真实喜剧演员客串(用户拍板补入)
shield-故意留英文	Liberty Tree	剧情专名译名表-v6(shield)	留英文
shield-故意留英文	Bus Stop	剧情专名译名表-v6(shield)	留英文
shield-故意留英文	Danny Boy	剧情专名译名表-v6(shield)	留英文
shield-故意留英文	Joe Shmoe	剧情专名译名表-v6(shield)	留英文
shield-故意留英文	United Liberty Party	剧情专名译名表-v6(shield)	留英文
shield-故意留英文	Malcolm X	人名译名表(en==zh)	真实人物+游戏内注释
shield-故意留英文	St. John	人名译名表(en==zh)	Bluesy St. John 艺名
shield-故意留英文	Katt Williams	人名译名表(en==zh)	真实喜剧演员客串
shield-故意留英文	Frankie Boyle	人名译名表(en==zh)	真实喜剧演员客串
shield-故意留英文	Bobby Konders	人名译名表(en==zh)	真实 DJ 客串
shield-故意留英文	Anna Rex	人名译名表(en==zh)	服装店名
shield-故意留英文	Joe "Tuna" DiLeo	人名译名表(en==zh)	LCPD 档案带引号绰号
shield-故意留英文	Johnny "Spaz" Barbosa	人名译名表(en==zh)	LCPD 档案带引号绰号
跳过-非专名/品牌等	Americi	零门槛扫描候选(补译表-v6c-待审)	外文碎片(塞尔维亚语邮件"Nadam se...u Americi")
跳过-非专名/品牌等	Badger	零门槛扫描候选(补译表-v6c-待审)	品牌(Badger手机)
跳过-非专名/品牌等	Blista	零门槛扫描候选(补译表-v6c-待审)	车名(走车名表+HUD一致,非人名替换)
跳过-非专名/品牌等	Chatterbox	零门槛扫描候选(补译表-v6c-待审)	品牌/节目(Chatterbox电台)
跳过-非专名/品牌等	Double	零门槛扫描候选(补译表-v6c-待审)	车名(Double-T摩托)
跳过-非专名/品牌等	Goathered	零门槛扫描候选(补译表-v6c-待审)	品牌/地名(Goatherd,候选已定留英文)
跳过-非专名/品牌等	Guernsey	零门槛扫描候选(补译表-v6c-待审)	存疑(Guernsey城,地名低置信)
跳过-非专名/品牌等	Loopy	零门槛扫描候选(补译表-v6c-待审)	昵称(LCPD绰号"Loopy",待定)
跳过-非专名/品牌等	Milken	零门槛扫描候选(补译表-v6c-待审)	品牌(Uder Milken冰淇淋)
跳过-非专名/品牌等	Nadam	零门槛扫描候选(补译表-v6c-待审)	外文碎片(塞尔维亚语)
跳过-非专名/品牌等	Pub	零门槛扫描候选(补译表-v6c-待审)	通用词(Irish Pub)
跳过-非专名/品牌等	Reaper	零门槛扫描候选(补译表-v6c-待审)	存疑(疑代号/帮派)
跳过-非专名/品牌等	River	零门槛扫描候选(补译表-v6c-待审)	存疑(LCPD;River疑姓/常用词)
跳过-非专名/品牌等	Saint	零门槛扫描候选(补译表-v6c-待审)	通用词/尊称(Saint迈克尔=St. Michael)
跳过-非专名/品牌等	Slam	零门槛扫描候选(补译表-v6c-待审)	车名(Slamvan)
跳过-非专名/品牌等	Uder	零门槛扫描候选(补译表-v6c-待审)	品牌(Uder Milken)
跳过-非专名/品牌等	Wing	零门槛扫描候选(补译表-v6c-待审)	品牌("Wing It"幻灯片软件)
跳过-非专名/品牌等	Alpha	零门槛扫描候选(补译表-v6c-待审)	存疑(Alpha路口,疑街名低置信)
跳过-非专名/品牌等	Ambrosia	零门槛扫描候选(补译表-v6c-待审)	昵称(LCPD绰号Ambrosia,已注"神的食物")
跳过-非专名/品牌等	Ampheterate	零门槛扫描候选(补译表-v6c-待审)	生造词/药名
跳过-非专名/品牌等	Amyl	零门槛扫描候选(补译表-v6c-待审)	药物(亚硝酸戊酯)
跳过-非专名/品牌等	Axxxxx	零门槛扫描候选(补译表-v6c-待审)	垃圾句柄
跳过-非专名/品牌等	Bawhan	零门槛扫描候选(补译表-v6c-待审)	存疑(RACES赛道名,疑Bohan变体)
跳过-非专名/品牌等	Blogsnobs	零门槛扫描候选(补译表-v6c-待审)	品牌(网站)
跳过-非专名/品牌等	Bo	零门槛扫描候选(补译表-v6c-待审)	碎片(雷 Bo-猪头-ccino 笑话名)
跳过-非专名/品牌等	Bogan	零门槛扫描候选(补译表-v6c-待审)	赛道名(Bogan的竞赛)
跳过-非专名/品牌等	Brace	零门槛扫描候选(补译表-v6c-待审)	通用词(Brace position防冲击姿势)
跳过-非专名/品牌等	Caf	零门槛扫描候选(补译表-v6c-待审)	碎片(Superstar Café)
跳过-非专名/品牌等	Celebinator	零门槛扫描候选(补译表-v6c-待审)	品牌(网站)
跳过-非专名/品牌等	Chi	零门槛扫描候选(补译表-v6c-待审)	碎片
跳过-非专名/品牌等	Compact	零门槛扫描候选(补译表-v6c-待审)	车名(Blista Compact)
跳过-非专名/品牌等	Concourse	零门槛扫描候选(补译表-v6c-待审)	存疑(地名 the Concourse,低置信)
跳过-非专名/品牌等	Deck	零门槛扫描候选(补译表-v6c-待审)	碎片(Poop Deck餐馆)
跳过-非专名/品牌等	Delancey	零门槛扫描候选(补译表-v6c-待审)	垃圾邮件上下文(Delancey Medua spam)
跳过-非专名/品牌等	Derrierre	零门槛扫描候选(补译表-v6c-待审)	品牌(Derrierre时装店)
跳过-非专名/品牌等	Doodles	零门槛扫描候选(补译表-v6c-待审)	宠物名(猫Doodles先生)
跳过-非专名/品牌等	Duke	零门槛扫描候选(补译表-v6c-待审)	存疑(Duke的爱尔兰裔;疑Dukes区/人名)
跳过-非专名/品牌等	Ec	零门槛扫描候选(补译表-v6c-待审)	缩写(B.Ec学位)
跳过-非专名/品牌等	Electric	零门槛扫描候选(补译表-v6c-待审)	存疑/品牌
跳过-非专名/品牌等	Enema	零门槛扫描候选(补译表-v6c-待审)	垃圾词(博客粗口)
跳过-非专名/品牌等	Excelsior	零门槛扫描候选(补译表-v6c-待审)	品牌(Excelsior Extreme剃须刀)
跳过-非专名/品牌等	Extreme	零门槛扫描候选(补译表-v6c-待审)	品牌(同上)
跳过-非专名/品牌等	Fertinatta	零门槛扫描候选(补译表-v6c-待审)	存疑(低置信)
跳过-非专名/品牌等	Fourchette	零门槛扫描候选(补译表-v6c-待审)	品牌(餐馆)
跳过-非专名/品牌等	Glory	零门槛扫描候选(补译表-v6c-待审)	碎片(Glory Hole公园)
跳过-非专名/品牌等	Goatse	零门槛扫描候选(补译表-v6c-待审)	垃圾词(网络梗)
跳过-非专名/品牌等	Gong	零门槛扫描候选(补译表-v6c-待审)	品牌(Tuff Gong电台)
跳过-非专名/品牌等	Grype	零门槛扫描候选(补译表-v6c-待审)	存疑
跳过-非专名/品牌等	Hirtterberher	零门槛扫描候选(补译表-v6c-待审)	乱码姓(邮件签名)
跳过-非专名/品牌等	Ho	零门槛扫描候选(补译表-v6c-待审)	碎片(Howitzer)
跳过-非专名/品牌等	Hole	零门槛扫描候选(补译表-v6c-待审)	碎片(Glory Hole)
跳过-非专名/品牌等	Iike	零门槛扫描候选(补译表-v6c-待审)	拼写错(疑Ike,昵称)
跳过-非专名/品牌等	Jaundice	零门槛扫描候选(补译表-v6c-待审)	笑话名(黄疸词)
跳过-非专名/品牌等	Jjsd	零门槛扫描候选(补译表-v6c-待审)	垃圾句柄
跳过-非专名/品牌等	Kensington	零门槛扫描候选(补译表-v6c-待审)	存疑(样例截断,低置信)
跳过-非专名/品牌等	Kifflom	零门槛扫描候选(补译表-v6c-待审)	虚构神名(埃普西隆邪教,通常留英文)
跳过-非专名/品牌等	Konders	零门槛扫描候选(补译表-v6c-待审)	shield(Bobby Konders真实DJ)
跳过-非专名/品牌等	Libel	零门槛扫描候选(补译表-v6c-待审)	品牌(LibEl电力)
跳过-非专名/品牌等	Logger	零门槛扫描候选(补译表-v6c-待审)	品牌(Logger啤酒)
跳过-非专名/品牌等	Loot	零门槛扫描候选(补译表-v6c-待审)	碎片(Loot and Wank网站)
跳过-非专名/品牌等	Mayfly	零门槛扫描候选(补译表-v6c-待审)	存疑
跳过-非专名/品牌等	Mc	零门槛扫描候选(补译表-v6c-待审)	碎片(Mc-妈逼-Reary)
跳过-非专名/品牌等	Medua	零门槛扫描候选(补译表-v6c-待审)	垃圾邮件上下文
跳过-非专名/品牌等	Msc	零门槛扫描候选(补译表-v6c-待审)	缩写(学位)
跳过-非专名/品牌等	Pathetic	零门槛扫描候选(补译表-v6c-待审)	笑话词(已注"可悲")
跳过-非专名/品牌等	Peresroika	零门槛扫描候选(补译表-v6c-待审)	拼写错(Perestroika电台变体)
跳过-非专名/品牌等	Ph	零门槛扫描候选(补译表-v6c-待审)	缩写(Ph.D)
跳过-非专名/品牌等	Pickles	零门槛扫描候选(补译表-v6c-待审)	宠物名(狗)
跳过-非专名/品牌等	Piddles	零门槛扫描候选(补译表-v6c-待审)	宠物名(猫)
跳过-非专名/品牌等	Play	零门槛扫描候选(补译表-v6c-待审)	存疑/碎片
跳过-非专名/品牌等	Playa	零门槛扫描候选(补译表-v6c-待审)	俚语(playa=player)
跳过-非专名/品牌等	Poop	零门槛扫描候选(补译表-v6c-待审)	碎片(Poop Deck餐馆)
跳过-非专名/品牌等	Renda	零门槛扫描候选(补译表-v6c-待审)	存疑
跳过-非专名/品牌等	Rex	零门槛扫描候选(补译表-v6c-待审)	shield(Anna Rex店名)
跳过-非专名/品牌等	Riddles	零门槛扫描候选(补译表-v6c-待审)	宠物名(猫)
跳过-非专名/品牌等	Rojo	零门槛扫描候选(补译表-v6c-待审)	外文(西语"红")
跳过-非专名/品牌等	Ropka	零门槛扫描候选(补译表-v6c-待审)	垃圾句柄
跳过-非专名/品牌等	Shmoe	零门槛扫描候选(补译表-v6c-待审)	shield(Joe Shmoe)
跳过-非专名/品牌等	Shory	零门槛扫描候选(补译表-v6c-待审)	存疑(剧集角色名)
跳过-非专名/品牌等	Stockade	零门槛扫描候选(补译表-v6c-待审)	存疑(Stockade小径,地名)
跳过-非专名/品牌等	Stop	零门槛扫描候选(补译表-v6c-待审)	shield(Bus Stop舞步)
跳过-非专名/品牌等	Strike	零门槛扫描候选(补译表-v6c-待审)	存疑
跳过-非专名/品牌等	Thunder	零门槛扫描候选(补译表-v6c-待审)	赛道名(Thunder道路)
跳过-非专名/品牌等	Tiddles	零门槛扫描候选(补译表-v6c-待审)	宠物名(猫)
跳过-非专名/品牌等	Tiny	零门槛扫描候选(补译表-v6c-待审)	存疑/昵称
跳过-非专名/品牌等	Tit	零门槛扫描候选(补译表-v6c-待审)	粗俗词
跳过-非专名/品牌等	Toshi	零门槛扫描候选(补译表-v6c-待审)	品牌(Toshi手机)
跳过-非专名/品牌等	Tuff	零门槛扫描候选(补译表-v6c-待审)	品牌(Tuff Gong电台)
跳过-非专名/品牌等	Tunafish	零门槛扫描候选(补译表-v6c-待审)	昵称(与Tuna相关,待定)
跳过-非专名/品牌等	Tw	零门槛扫描候选(补译表-v6c-待审)	碎片(Tw@网站)
跳过-非专名/品牌等	United	零门槛扫描候选(补译表-v6c-待审)	shield(United Liberty Paper)
跳过-非专名/品牌等	Veneer	零门槛扫描候选(补译表-v6c-待审)	存疑
跳过-非专名/品牌等	Videogeddon	零门槛扫描候选(补译表-v6c-待审)	事件名(留英文)
跳过-非专名/品牌等	Wank	零门槛扫描候选(补译表-v6c-待审)	碎片/粗俗(Loot and Wank)
跳过-非专名/品牌等	Waterstreet	零门槛扫描候选(补译表-v6c-待审)	存疑(LCPD;疑姓低置信)
跳过-非专名/品牌等	Wigwam	零门槛扫描候选(补译表-v6c-待审)	存疑/品牌
跳过-非专名/品牌等	Wolfbane	零门槛扫描候选(补译表-v6c-待审)	车名(Wolfsbane摩托)
跳过-非专名/品牌等	Yogarishima	零门槛扫描候选(补译表-v6c-待审)	品牌(服装)
跳过-非专名/品牌等	Yogarishma	零门槛扫描候选(补译表-v6c-待审)	品牌(服装)
跳过-非专名/品牌等	MeTV	零门槛扫描候选(补译表-v6c-待审)	品牌(MeTV电视台)
跳过-非专名/品牌等	Irish	零门槛扫描候选(补译表-v6c-待审)	通用词(Irish Pub)
跳过-非专名/品牌等	GetaLife	零门槛扫描候选(补译表-v6c-待审)	品牌(GetaLife大厦)
跳过-非专名/品牌等	Parkway	零门槛扫描候选(补译表-v6c-待审)	通用碎片(Parkway路型,按既有口径跳过)
界面词/杂项(口径不译)	FOV	本体/MAIN/Key:d37e26a2	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	sec	本体/MAIN/Key:c2bbf93a	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Advanced	本体/MAIN/Key:6dd31ad3	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	HUD	本体/MAIN/Key:a6803f65	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Legend	本体/MAIN/Key:78ce723b	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Blips	本体/MAIN/Key:96dfdf13	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Host	本体/MAIN/Key:32b6d9bc	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Ping	本体/MAIN/Key:9d1c80a7	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Auto-Settings	本体/MAIN/Key:641ad117	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	Sigma	本体/MAIN/Key:43500b5d	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	ESC	本体/MAIN/Key:8d30f4fa	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	TAB	本体/MAIN/Key:91bf5cd5	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	YEN	本体/MAIN/Key:416eae66	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	PLAY/PAUSE	本体/MAIN/Key:e865f7d6	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	END	本体/MAIN/Key:d04a99e2	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	INS	本体/MAIN/Key:1d1fb273	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
界面词/杂项(口径不译)	DEL	本体/MAIN/Key:0bb48f9d	MAIN 组界面词/设置项/统计标签类，按用户拍板口径"游戏界面/菜单文字不译"
